Linha de Fornecimento,Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
ELEVADORES E ESCADAS ROLANTES,234,00.028.986/0007-01,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,73866,05.379.701/0001-05,,EGS ELEVADORES LTDA,Sim,,56057: Alfredo Chaves,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,76642,05.530.834/0001-22,,DUNAS COMERCIAL LTDA,Sim,,56995: Serra,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789099: COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
ELEVADORES E ESCADAS ROLANTES,87047,06.136.591/0001-05,,NOVA ELEVADORES LTDA,Sim,,56995: Serra,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,167443,27.321.777/0001-04,,ELEVADORES ELETRO LIDER LTDA,Sim,,57037: Vila Velha,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3314708: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS",,Sim
ELEVADORES E ESCADAS ROLANTES,168283,28.168.052/0001-90,,ELEVADORES NACIONAL DO BRASIL LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"2822401: FABRICAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE PESSOAS, PEÇAS E ACESSÓRIOS",,Sim
ELEVADORES E ESCADAS ROLANTES,169675,29.739.737/0015-08,,ELEVADORES OTIS LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"3314708: MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS, EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVAÇÃO DE CARGAS",,Sim
ELEVADORES E ESCADAS ROLANTES,221521,90.347.840/0012-70,,TK ELEVADORES BRASIL LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,268113,07.277.777/0001-47,,DIGITAL TECNOLOGIA E SEGURANCA LTDA,Sim,,56995: Serra,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4649402: COMÉRCIO ATACADISTA DE APARELHOS ELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,,Sim
ELEVADORES E ESCADAS ROLANTES,303341,14.829.403/0001-52,,MARCUS DOS SANTOS TEIXEIRA 02896573690,Não,,56995: Serra,ES,1: EMPRESÁRIO (INDIVIDUAL),2: null,,,4753900: COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,,Sim
ELEVADORES E ESCADAS ROLANTES,400406,01.436.189/0001-22,,CAIO INDUSTRIA E COMERCIO LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4669999: COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS,,Sim
ELEVADORES E ESCADAS ROLANTES,474204,09.392.396/0001-34,,PROTENDI COMERCIO DE EPI LTDA,Sim,,57037: Vila Velha,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4642702: COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA USO PROFISSIONAL E DE SEGURANÇA DO TRABALHO,,Sim
ELEVADORES E ESCADAS ROLANTES,641671,28.416.873/0001-07,,COMAPRO COMERCIO E IMPORTACAO LTDA,Sim,,57053: Vitória,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4689399: COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE,,Sim
ELEVADORES E ESCADAS ROLANTES,748358,47.402.338/0001-33,,ALFA MANUTENCAO EM SERVICOS GERAIS LTDA,Sim,,56057: Alfredo Chaves,ES,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4330404: SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,,Sim
ELEVADORES E ESCADAS ROLANTES,236,00.028.986/0010-07,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,41238: Belo Horizonte,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
ELEVADORES E ESCADAS ROLANTES,238,00.028.986/0012-60,,ELEVADORES ATLAS SCHINDLER LTDA.,Sim,,54038: Uberlândia,MG,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,"4329103: INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,Sim
