Linhas de fornecimento,Lista de municipios
Linha de Fornecimento 1: ARMAS DE FOGO DE CALIBRE ATÉ 30MM,Município 19: Guajará-Mirim
Linha de Fornecimento 2: ARMAS DE FOGO DE CALIBRE ACIMA DE 30MM ATÉ 75MM,Município 27: ALTO ALEGRE DOS PARECIS
Linha de Fornecimento 3: ARMAS DE FOGO DE CALIBRE ACIMA DE 75MM ATÉ 125MM,Município 35: Porto Velho
Linha de Fornecimento 4: ARMAS DE FOGO DE CALIBRE ACIMA DE 125MM ATÉ 150MM,Município 43: BURITIS
Linha de Fornecimento 5: ARMAS DE FOGO DE CALIBRE ACIMA DE 150MM ATÉ 200MM,Município 51: Ji-Paraná
Linha de Fornecimento 6: ARMAS DE FOGO DE CALIBRE ACIMA DE 200MM ATÉ 300MM,Município 60: CHUPINGUAIA
Linha de Fornecimento 7: ARMAS DE FOGO DE CALIBRE ACIMA DE 300MM,Município 78: Ariquemes
Linha de Fornecimento 8: ARMAMENTO E EQUIPAMENTOS DE GUERRA QUÍMICA,Município 86: CUJUBIM
Linha de Fornecimento 9: LANÇADORES DE TORPEDOS E DE BOMBAS DE PROFUNDIDADE,Município 94: Cacoal
Linha de Fornecimento 10: LANÇADORES DE FOGUETES E PIROTÉCNICOS,Município 108: Nova União
Linha de Fornecimento 11: REDES SUBMARINAS DE DEFESA DE PORTOS,Município 116: Pimenta Bueno
"Linha de Fornecimento 12: EQUIPAMENTOS DE DESMAGNETIZAÇÃO E DE VARREDURA DE 
MINAS",Município 124: PARECIS
Linha de Fornecimento 13: EQUIPAMENTOS DE CAMUFLAGEM E DE DISSIMULAÇÃO,Município 132: Vilhena
Linha de Fornecimento 14: CONJUNTOS INTERCAMBIÁVEIS DE DUAS OU MAIS CLASSES,Município 140: PIMENTEIRAS DO OESTE
Linha de Fornecimento 15: ARMAMENTOS DIVERSOS,Município 159: Jaru
Linha de Fornecimento 16: BOMBAS NUCLEARES,Município 167: PRIMAVERA DE RONDÔNIA
Linha de Fornecimento 17: PROJÉTEIS NUCLEARES,Município 175: Ouro Preto do Oeste
Linha de Fornecimento 18: OGIVAS NUCLEARES E SEÇÕES DE OGIVAS NUCLEARES,Município 183: SAO FELIPE D´OESTE
Linha de Fornecimento 19: BOMBAS NUCLEARES DE PROFUNDIDADE,Município 191: Presidente Médici
Linha de Fornecimento 20: CARGAS NUCLEARES DE DEMOLIÇÃO,Município 205: SÃO FRANCISCO DO GUAPORÉ
Linha de Fornecimento 21: FOGUETES NUCLEARES,Município 213: Costa Marques
Linha de Fornecimento 22: CONJUNTOS DE CONVERSÃO PARA ARMAMENTO NUCLEAR,Município 221: TEIXEIROPOLIS
Linha de Fornecimento 23: DISPOSITIVOS DE DETONAÇÃO E DISPARO DE ARMAMENTO,Município 230: Colorado do Oeste
Linha de Fornecimento 24: COMPONENTES NUCLEARES,Município 248: VALE DO ANARI
"Linha de Fornecimento 25: COMPONENTES EXPLOSIVOS E PIROTÉCNICOS DE 
ARMAMENTO NUCLEAR",Município 256: ESPIGAO D´Oeste
"Linha de Fornecimento 26: EQUIPAMENTO ESPECIALIZADO DE MANUSEIO E ENSAIO DE 
ARMAMENTONUCLEAR",Município 264: AMAJARI
Linha de Fornecimento 27: MATERIAL BÉLICO NUCLEAR DIVERSOS,Município 272: Cerejeiras
Linha de Fornecimento 28: DIRETORAS DE CONTROLE DE TIRO,Município 280: CANTÁ
Linha de Fornecimento 29: DISPOSITIVOS E CORRETORES DE CONTROLE DE TIRO,Município 299: Rolim de Moura
Linha de Fornecimento 30: SISTEMAS COMPLETOS DE CONTROLE DE TIRO,Município 302: CAROEBE
"Linha de Fornecimento 31: EQUIPAMENTOS ÓTICOS DE VISADA E MEDIÇÃO DE 
DISTÂNCIA",Município 310: Caldazinha
Linha de Fornecimento 32: MECANISMOS DE ESTABILIZAÇÃO E CONTROLE DE TIRO,Município 329: IRACEMA
"Linha de Fornecimento 33: EQUIPAMENTO DE DESIGNAÇÃO E INDICAÇÃO DE CONTROLE 
DE TIRO",Município 337: Alta Florest D´Oeste
"Linha de Fornecimento 34: EQUIPAMENTO DE RECEPÇÃO E TRANSMISSÃO DE CONTROLE 
DE TIRO(EXCETO DE AERONAVE)",Município 345: PACARAIMA
Linha de Fornecimento 35: COMPONENTES DE CONTROLE DE TIRO DE AERONAVES,Município 353: Alvorada D´Oeste
"Linha de Fornecimento 36: COMPONENTES DE CONTROLE DE TIRO EM AERONAVES DE 
BOMBARDEIO",Município 361: Rorainopolis
